CustomerID,Recency,Frequency,Monetary,r_score,f_score,m_score,RFM_score,segment,important
16856,15,1,35.4,4,1,1,411,Potential Loyalist,9
15940,311,1,35.8,1,1,1,111,Hibernating,2
17816,37,4,36.56,3,2,1,321,Potential Loyalist,9
16162,252,1,37.4,1,1,1,111,Hibernating,2
12855,373,1,38.1,1,1,1,111,Hibernating,2
18019,52,1,38.45,3,1,1,311,Potential Loyalist,9
16659,189,1,39.12,1,1,1,111,Hibernating,2
12977,156,1,39.24,2,1,1,211,About To Sleep,5
14589,372,1,39.75,1,1,1,111,Hibernating,2
15178,260,1,40.5,1,1,1,111,Hibernating,2
13832,19,1,40.95,4,1,1,411,Potential Loyalist,9
15992,4,1,41.99,5,1,1,511,Potential Loyalist,9
14300,19,1,43.2,4,1,1,411,Potential Loyalist,9
15423,38,1,43.5,3,1,1,311,Potential Loyalist,9
14080,33,1,45.6,3,1,1,311,Potential Loyalist,9
16257,177,1,46.95,2,1,1,211,About To Sleep,5
15603,79,1,48.48,2,1,1,211,About To Sleep,5
14821,367,1,48.8,1,1,1,111,Hibernating,2
18184,15,1,49.8,4,1,1,411,Potential Loyalist,9
13011,372,1,50.55,1,1,1,111,Hibernating,2
14351,165,1,51.0,2,1,1,211,About To Sleep,5
17844,107,1,51.56,2,1,1,211,About To Sleep,5
14682,188,2,52.0,1,1,1,111,Hibernating,2
15313,110,1,52.0,2,1,1,211,About To Sleep,5
14865,7,2,52.2,5,1,1,511,Potential Loyalist,9
15504,81,1,52.83,2,1,1,211,About To Sleep,5
16349,291,1,53.5,1,1,1,111,Hibernating,2
14760,297,1,53.8,1,1,1,111,Hibernating,2
13366,50,1,56.16,3,1,1,311,Potential Loyalist,9
15899,369,1,56.25,1,1,1,111,Hibernating,2
17775,255,1,56.4,1,1,1,111,Hibernating,2
13080,179,1,58.08,2,1,1,211,About To Sleep,5
14957,253,1,58.49,1,1,1,111,Hibernating,2
13682,187,1,59.5,1,1,1,111,Hibernating,2
13106,133,1,59.5,2,1,1,211,About To Sleep,5
13391,204,1,59.8,1,1,1,111,Hibernating,2
17174,218,1,59.9,1,1,1,111,Hibernating,2
13194,136,1,60.7,2,1,1,211,About To Sleep,5
15729,213,1,62.0,1,1,1,111,Hibernating,2
15516,45,3,62.43,3,1,1,311,Potential Loyalist,9
13218,127,1,62.64,2,1,1,211,About To Sleep,5
14840,268,1,62.85,1,1,1,111,Hibernating,2
14437,366,1,63.0,1,1,1,111,Hibernating,2
12665,325,1,63.0,1,1,1,111,Hibernating,2
17263,208,1,63.44,1,1,1,111,Hibernating,2
13302,155,1,63.75,2,1,1,211,About To Sleep,5
13130,94,1,64.0,2,1,1,211,About To Sleep,5
13684,286,1,64.23,1,1,1,111,Hibernating,2
17382,65,1,65.4,3,1,1,311,Potential Loyalist,9
14393,218,1,67.95,1,1,1,111,Hibernating,2
15863,26,2,68.84,4,1,1,411,Potential Loyalist,9
18037,154,6,70.02,2,3,1,231,Customers Needing Attention,6
16581,183,1,70.44,1,1,1,111,Hibernating,2
17022,31,1,71.0,4,1,1,411,Potential Loyalist,9
13185,268,1,71.4,1,1,1,111,Hibernating,2
17747,113,1,71.4,2,1,1,211,About To Sleep,5
13938,35,1,71.66,3,1,1,311,Potential Loyalist,9
13686,183,1,72.0,1,1,1,111,Hibernating,2
17906,247,1,72.9,1,1,1,111,Hibernating,2
16171,59,1,73.2,3,1,1,311,Potential Loyalist,9
18032,334,1,73.5,1,1,1,111,Hibernating,2
12506,233,1,73.5,1,1,1,111,Hibernating,2
17960,171,1,73.78,2,1,1,211,About To Sleep,5
18050,359,1,74.4,1,1,1,111,Hibernating,2
13095,71,1,74.4,3,1,1,311,Potential Loyalist,9
16468,74,1,74.9,2,1,1,211,About To Sleep,5
13403,18,1,75.0,4,1,1,411,Potential Loyalist,9
16610,219,1,75.66,1,1,1,111,Hibernating,2
17628,81,1,75.75,2,1,1,211,About To Sleep,5
17995,282,1,76.1,1,1,1,111,Hibernating,2
18113,369,1,76.32,1,1,1,111,Hibernating,2
14090,325,1,76.32,1,1,1,111,Hibernating,2
16148,296,1,76.32,1,1,1,111,Hibernating,2
15668,218,1,76.32,1,1,1,111,Hibernating,2
17536,177,1,76.5,2,1,1,211,About To Sleep,5
14373,358,1,76.55,1,1,1,111,Hibernating,2
13992,30,1,76.8,4,1,1,411,Potential Loyalist,9
13132,262,1,77.3,1,1,1,111,Hibernating,2
14785,10,2,77.4,5,1,1,511,Potential Loyalist,9
17942,8,1,77.5,5,1,1,511,Potential Loyalist,9
15753,305,1,79.2,1,1,1,111,Hibernating,2
16078,284,1,79.2,1,1,1,111,Hibernating,2
13747,374,1,79.6,1,1,1,111,Hibernating,2
14109,73,1,80.2,2,1,1,211,About To Sleep,5
17752,359,1,80.64,1,1,1,111,Hibernating,2
13967,146,1,80.7,2,1,1,211,About To Sleep,5
16789,8,1,80.8,5,1,1,511,Potential Loyalist,9
18281,181,1,80.82,1,1,1,111,Hibernating,2
17620,60,1,81.44,3,1,1,311,Potential Loyalist,9
13006,56,1,81.57,3,1,1,311,Potential Loyalist,9
17309,95,1,82.75,2,1,1,211,About To Sleep,5
12401,303,1,84.3,1,1,1,111,Hibernating,2
13666,60,3,84.65,3,1,1,311,Potential Loyalist,9
13841,253,1,85.0,1,1,1,111,Hibernating,2
15541,114,1,85.13,2,1,1,211,About To Sleep,5
16498,161,2,86.12,2,1,1,211,About To Sleep,5
13296,137,1,87.4,2,1,1,211,About To Sleep,5
15180,367,1,87.5,1,1,1,111,Hibernating,2
15083,257,1,88.2,1,1,1,111,Hibernating,2
15212,241,1,88.95,1,1,1,111,Hibernating,2
12353,204,1,89.0,1,1,1,111,Hibernating,2
14436,99,1,89.06,2,1,1,211,About To Sleep,5
13672,301,2,89.13,1,1,1,111,Hibernating,2
12686,372,1,89.14,1,1,1,111,Hibernating,2
14219,4,1,89.94,5,1,1,511,Potential Loyalist,9
14117,144,1,90.0,2,1,1,211,About To Sleep,5
16597,4,1,90.04,5,1,1,511,Potential Loyalist,9
15552,217,1,90.12,1,1,1,111,Hibernating,2
16506,20,2,90.3,4,1,1,411,Potential Loyalist,9
18084,16,1,90.48,4,1,1,411,Potential Loyalist,9
14353,215,1,90.6,1,1,1,111,Hibernating,2
13947,65,1,90.6,3,1,1,311,Potential Loyalist,9
15488,93,1,91.32,2,1,1,211,About To Sleep,5
12659,30,1,91.68,4,1,1,411,Potential Loyalist,9
13551,319,1,91.8,1,1,1,111,Hibernating,2
13160,22,1,91.8,4,1,1,411,Potential Loyalist,9
12789,65,1,91.85,3,1,1,311,Potential Loyalist,9
14054,65,1,92.46,3,1,1,311,Potential Loyalist,9
12821,214,1,92.72,1,1,1,111,Hibernating,2
17991,225,2,93.35,1,1,1,111,Hibernating,2
13283,60,2,93.66,3,1,1,311,Potential Loyalist,9
18227,218,1,93.75,1,1,1,111,Hibernating,2
15428,15,1,93.78,4,1,1,411,Potential Loyalist,9
15397,290,1,94.0,1,1,1,111,Hibernating,2
13651,35,2,94.2,3,1,1,311,Potential Loyalist,9
16073,297,1,94.35,1,1,1,111,Hibernating,2
16387,323,1,94.36,1,1,1,111,Hibernating,2
12548,166,1,95.2,2,1,1,211,About To Sleep,5
18249,17,1,95.34,4,1,1,411,Potential Loyalist,9
17024,45,3,95.85,3,1,1,311,Potential Loyalist,9
14642,59,1,96.12,3,1,1,311,Potential Loyalist,9
15216,88,1,96.6,2,1,1,211,About To Sleep,5
17325,280,1,96.8,1,1,1,111,Hibernating,2
12984,19,1,97.5,4,1,1,411,Potential Loyalist,9
15422,323,2,97.7,1,1,1,111,Hibernating,2
18033,65,1,97.97,3,1,1,311,Potential Loyalist,9
17895,44,1,98.0,3,1,1,311,Potential Loyalist,9
17538,26,1,98.42,4,1,1,411,Potential Loyalist,9
15256,149,1,98.45,2,1,1,211,About To Sleep,5
17746,240,1,98.8,1,1,1,111,Hibernating,2
17939,160,1,99.14,2,1,1,211,About To Sleep,5
13703,318,1,99.5,1,1,1,111,Hibernating,2
15973,367,1,99.77,1,1,1,111,Hibernating,2
14371,295,1,100.5,1,1,1,111,Hibernating,2
17427,72,1,100.8,2,1,1,211,About To Sleep,5
14946,14,1,100.9,4,1,1,411,Potential Loyalist,9
16344,158,1,101.1,2,1,1,211,About To Sleep,5
13101,234,1,101.19,1,1,1,111,Hibernating,2
18086,274,1,101.34,1,1,1,111,Hibernating,2
16006,211,1,101.4,1,1,1,111,Hibernating,2
17643,373,1,101.55,1,1,1,111,Hibernating,2
18068,289,1,101.7,1,1,1,111,Hibernating,2
16516,30,1,101.7,4,1,1,411,Potential Loyalist,9
13948,361,1,102.0,1,1,1,111,Hibernating,2
16462,74,3,102.0,2,1,1,211,About To Sleep,5
14981,246,1,102.12,1,1,1,111,Hibernating,2
14836,10,3,102.45,5,1,1,511,Potential Loyalist,9
18011,373,1,102.79,1,1,1,111,Hibernating,2
17962,142,1,102.83,2,1,1,211,About To Sleep,5
14542,186,1,103.25,1,1,1,111,Hibernating,2
18255,89,1,103.3,2,1,1,211,About To Sleep,5
18174,7,1,104.0,5,1,1,511,Potential Loyalist,9
15958,74,1,104.35,2,1,1,211,About To Sleep,5
15607,337,1,104.76,1,1,1,111,Hibernating,2
14027,61,1,104.82,3,1,1,311,Potential Loyalist,9
15775,245,1,104.9,1,1,1,111,Hibernating,2
17791,30,1,106.1,4,1,1,411,Potential Loyalist,9
15070,373,1,106.2,1,1,1,111,Hibernating,2
15168,26,1,106.56,4,1,1,411,Potential Loyalist,9
16757,319,1,106.83,1,1,1,111,Hibernating,2
15395,326,1,107.45,1,1,1,111,Hibernating,2
16784,20,1,107.6,4,1,1,411,Potential Loyalist,9
14661,27,1,107.95,4,1,1,411,Potential Loyalist,9
12956,306,1,108.07,1,1,1,111,Hibernating,2
13226,273,1,108.21,1,1,1,111,Hibernating,2
16106,66,1,108.38,3,1,1,311,Potential Loyalist,9
17639,276,1,108.5,1,1,1,111,Hibernating,2
14345,39,1,108.98,3,1,1,311,Potential Loyalist,9
14699,214,1,109.13,1,1,1,111,Hibernating,2
16363,53,1,109.36,3,1,1,311,Potential Loyalist,9
13133,274,2,109.8,1,1,1,111,Hibernating,2
16339,284,1,109.95,1,1,1,111,Hibernating,2
17836,47,1,110.21,3,1,1,311,Potential Loyalist,9
16792,282,2,110.38,1,1,1,111,Hibernating,2
18277,58,1,110.38,3,1,1,311,Potential Loyalist,9
17901,29,1,110.38,4,1,1,411,Potential Loyalist,9
12734,353,1,110.4,1,1,1,111,Hibernating,2
14641,22,1,110.46,4,1,1,411,Potential Loyalist,9
16963,187,1,110.55,1,1,1,111,Hibernating,2
17349,179,1,110.75,1,1,1,111,Hibernating,2
13519,78,1,110.8,2,1,1,211,About To Sleep,5
15853,52,1,110.8,3,1,1,311,Potential Loyalist,9
15537,163,1,110.92,2,1,1,211,About To Sleep,5
13144,333,1,110.95,1,1,1,111,Hibernating,2
13508,244,1,110.97,1,1,1,111,Hibernating,2
18120,214,1,111.15,1,1,1,111,Hibernating,2
17887,129,1,111.35,2,1,1,211,About To Sleep,5
17957,66,1,111.68,3,1,1,311,Potential Loyalist,9
17274,35,1,111.98,3,1,1,311,Potential Loyalist,9
12756,87,1,112.08,2,1,1,211,About To Sleep,5
17893,225,1,112.25,1,1,1,111,Hibernating,2
14271,226,1,112.32,1,1,1,111,Hibernating,2
17038,30,1,112.4,4,1,1,411,Potential Loyalist,9
15610,52,1,112.46,3,1,1,311,Potential Loyalist,9
18129,243,1,112.55,1,1,1,111,Hibernating,2
13807,367,1,112.6,1,1,1,111,Hibernating,2
13161,313,1,112.75,1,1,1,111,Hibernating,2
16697,241,1,112.75,1,1,1,111,Hibernating,2
14689,209,1,112.8,1,1,1,111,Hibernating,2
15280,172,1,113.12,2,1,1,211,About To Sleep,5
16913,290,1,113.44,1,1,1,111,Hibernating,2
18105,38,1,113.48,3,1,1,311,Potential Loyalist,9
15445,264,1,113.5,1,1,1,111,Hibernating,2
17217,234,1,113.5,1,1,1,111,Hibernating,2
14457,311,1,113.64,1,1,1,111,Hibernating,2
12651,335,1,114.0,1,1,1,111,Hibernating,2
14582,41,1,114.11,3,1,1,311,Potential Loyalist,9
12938,26,1,114.14,4,1,1,411,Potential Loyalist,9
14652,77,1,114.18,2,1,1,211,About To Sleep,5
17219,32,1,114.23,4,1,1,411,Potential Loyalist,9
17852,12,2,114.34,5,1,1,511,Potential Loyalist,9
14974,37,1,114.39,3,1,1,311,Potential Loyalist,9
14632,263,1,114.56,1,1,1,111,Hibernating,2
16247,170,1,114.56,2,1,1,211,About To Sleep,5
13188,11,1,114.6,5,1,1,511,Potential Loyalist,9
14972,128,1,114.77,2,1,1,211,About To Sleep,5
18027,99,1,115.31,2,1,1,211,About To Sleep,5
13067,82,1,115.46,2,1,1,211,About To Sleep,5
15350,373,1,115.65,1,1,1,111,Hibernating,2
14143,134,1,115.8,2,1,1,211,About To Sleep,5
17601,239,1,116.01,1,1,1,111,Hibernating,2
13170,27,1,116.01,4,1,1,411,Potential Loyalist,9
17117,288,1,116.2,1,1,1,111,Hibernating,2
13877,86,1,117.24,2,1,1,211,About To Sleep,5
16959,87,1,117.35,2,1,1,211,About To Sleep,5
15836,50,1,117.47,3,1,1,311,Potential Loyalist,9
17654,277,1,117.55,1,1,1,111,Hibernating,2
12929,312,1,117.85,1,1,1,111,Hibernating,2
13193,61,1,117.88,3,1,1,311,Potential Loyalist,9
13581,309,1,118.0,1,1,1,111,Hibernating,2
14155,266,1,118.75,1,1,1,111,Hibernating,2
17079,78,1,118.8,2,1,1,211,About To Sleep,5
15843,304,1,118.95,1,1,1,111,Hibernating,2
16666,19,1,118.98,4,1,1,411,Potential Loyalist,9
15266,338,1,119.3,1,1,1,111,Hibernating,2
16542,54,1,119.62,3,1,1,311,Potential Loyalist,9
14453,190,1,119.93,1,1,1,111,Hibernating,2
14259,142,1,120.0,2,1,1,211,About To Sleep,5
14314,107,1,120.0,2,1,1,211,About To Sleep,5
18015,4,1,120.03,5,1,1,511,Potential Loyalist,9
17446,177,2,120.9,2,1,1,211,About To Sleep,5
13002,318,1,120.95,1,1,1,111,Hibernating,2
15512,156,2,121.0,2,1,1,211,About To Sleep,5
15049,274,1,121.17,1,1,1,111,Hibernating,2
13182,45,1,121.18,3,1,1,311,Potential Loyalist,9
13244,93,1,121.74,2,1,1,211,About To Sleep,5
18018,108,2,122.14,2,1,1,211,About To Sleep,5
14076,129,1,122.47,2,1,1,211,About To Sleep,5
14165,276,1,122.54,1,1,1,111,Hibernating,2
13638,16,1,122.64,4,1,1,411,Potential Loyalist,9
14413,362,1,122.7,1,1,1,111,Hibernating,2
13876,64,1,122.7,3,1,1,311,Potential Loyalist,9
17967,372,1,123.07,1,1,1,111,Hibernating,2
15917,248,1,123.1,1,1,1,111,Hibernating,2
16658,368,1,123.24,1,1,1,111,Hibernating,2
14495,51,2,123.8,3,1,1,311,Potential Loyalist,9
16569,3,1,124.2,5,1,1,511,Potential Loyalist,9
16849,187,1,124.57,1,1,1,111,Hibernating,2
17578,218,1,124.74,1,1,1,111,Hibernating,2
17148,52,1,124.88,3,1,1,311,Potential Loyalist,9
12531,15,1,125.22,4,1,1,411,Potential Loyalist,9
15017,34,1,125.58,3,1,1,311,Potential Loyalist,9
14890,254,1,125.65,1,1,1,111,Hibernating,2
14861,52,1,125.79,3,1,1,311,Potential Loyalist,9
13522,30,1,125.8,4,1,1,411,Potential Loyalist,9
12814,102,1,125.92,2,1,1,211,About To Sleep,5
16988,5,1,126.12,5,1,1,511,Potential Loyalist,9
15463,29,1,126.14,4,1,1,411,Potential Loyalist,9
16414,22,2,126.25,4,1,1,411,Potential Loyalist,9
13279,78,1,126.3,2,1,1,211,About To Sleep,5
14962,271,1,126.7,1,1,1,111,Hibernating,2
15923,373,1,127.08,1,1,1,111,Hibernating,2
15578,162,1,127.1,2,1,1,211,About To Sleep,5
15135,239,1,127.15,1,1,1,111,Hibernating,2
13781,251,1,127.84,1,1,1,111,Hibernating,2
15543,288,1,127.86,1,1,1,111,Hibernating,2
17359,11,1,127.86,5,1,1,511,Potential Loyalist,9
16828,93,2,128.5,2,1,1,211,About To Sleep,5
16623,246,1,129.45,1,1,1,111,Hibernating,2
16611,186,1,129.49,1,1,1,111,Hibernating,2
16679,366,1,129.75,1,1,1,111,Hibernating,2
15844,46,1,130.74,3,1,1,311,Potential Loyalist,9
12565,289,1,131.17,1,1,1,111,Hibernating,2
14795,166,1,131.45,2,1,1,211,About To Sleep,5
17455,204,1,131.7,1,1,1,111,Hibernating,2
17297,17,1,131.78,4,1,1,411,Potential Loyalist,9
14438,306,1,131.9,1,1,1,111,Hibernating,2
17785,53,1,131.94,3,1,1,311,Potential Loyalist,9
17647,65,1,133.06,3,1,1,311,Potential Loyalist,9
15709,284,1,133.25,1,1,1,111,Hibernating,2
17881,304,1,133.35,1,1,1,111,Hibernating,2
12445,22,1,133.4,4,1,1,411,Potential Loyalist,9
14349,10,1,133.5,5,1,1,511,Potential Loyalist,9
16424,191,1,133.56,1,1,1,111,Hibernating,2
13217,122,3,133.62,2,1,1,211,About To Sleep,5
14280,197,1,134.04,1,1,1,111,Hibernating,2
12837,173,1,134.1,2,1,1,211,About To Sleep,5
14586,277,1,134.16,1,1,1,111,Hibernating,2
14174,33,1,134.46,3,1,1,311,Potential Loyalist,9
15562,352,1,134.55,1,1,1,111,Hibernating,2
14340,219,1,134.7,1,1,1,111,Hibernating,2
16055,221,1,134.8,1,1,1,111,Hibernating,2
12851,97,1,135.18,2,1,1,211,About To Sleep,5
15276,66,1,135.31,3,1,1,311,Potential Loyalist,9
16665,362,1,135.4,1,1,1,111,Hibernating,2
15174,323,1,135.75,1,1,1,111,Hibernating,2
16114,171,1,135.75,2,1,1,211,About To Sleep,5
15419,25,1,135.86,4,1,1,411,Potential Loyalist,9
14889,336,1,135.9,1,1,1,111,Hibernating,2
15042,199,1,135.93,1,1,1,111,Hibernating,2
12968,112,1,135.95,2,1,1,211,About To Sleep,5
17972,242,1,136.04,1,1,1,111,Hibernating,2
14247,278,1,136.77,1,1,1,111,Hibernating,2
15691,252,1,136.8,1,1,1,111,Hibernating,2
17468,10,2,137.0,5,1,1,511,Potential Loyalist,9
14483,282,1,137.1,1,1,1,111,Hibernating,2
17709,170,1,137.45,2,1,1,211,About To Sleep,5
16050,174,1,137.9,2,1,1,211,About To Sleep,5
12512,66,2,138.03,3,1,1,311,Potential Loyalist,9
15663,106,1,138.14,2,1,1,211,About To Sleep,5
13716,269,1,138.28,1,1,1,111,Hibernating,2
17122,119,1,138.32,2,1,1,211,About To Sleep,5
14581,17,1,138.6,4,1,1,411,Potential Loyalist,9
12902,265,1,138.68,1,1,1,111,Hibernating,2
18269,366,1,138.9,1,1,1,111,Hibernating,2
13273,113,1,138.98,2,1,1,211,About To Sleep,5
18209,29,1,139.1,4,1,1,411,Potential Loyalist,9
14772,112,1,139.26,2,1,1,211,About To Sleep,5
17718,232,1,139.35,1,1,1,111,Hibernating,2
16483,192,1,139.35,1,1,1,111,Hibernating,2
14768,17,2,139.5,4,1,1,411,Potential Loyalist,9
14073,32,1,139.54,4,1,1,411,Potential Loyalist,9
14494,26,1,139.56,4,1,1,411,Potential Loyalist,9
13483,66,1,140.34,3,1,1,311,Potential Loyalist,9
13420,150,2,140.35,2,1,1,211,About To Sleep,5
15388,270,1,140.54,1,1,1,111,Hibernating,2
16598,286,1,140.7,1,1,1,111,Hibernating,2
15888,81,1,141.27,2,1,1,211,About To Sleep,5
14041,266,1,141.41,1,1,1,111,Hibernating,2
13561,216,1,141.86,1,1,1,111,Hibernating,2
13584,307,1,142.4,1,1,1,111,Hibernating,2
14386,297,1,142.4,1,1,1,111,Hibernating,2
13299,268,1,142.5,1,1,1,111,Hibernating,2
16287,170,1,142.5,2,1,1,211,About To Sleep,5
15705,201,1,143.1,1,1,1,111,Hibernating,2
13462,253,1,143.25,1,1,1,111,Hibernating,2
17186,47,2,144.0,3,1,1,311,Potential Loyalist,9
12587,8,1,144.0,5,1,1,511,Potential Loyalist,9
12974,198,1,144.8,1,1,1,111,Hibernating,2
16852,10,2,144.91,5,1,1,511,Potential Loyalist,9
17524,361,1,145.0,1,1,1,111,Hibernating,2
15937,64,1,145.35,3,1,1,311,Potential Loyalist,9
13866,74,1,145.67,2,1,1,211,About To Sleep,5
17935,138,2,145.79,2,1,1,211,About To Sleep,5
16893,367,1,145.93,1,1,1,111,Hibernating,2
12504,18,2,146.65,4,1,1,411,Potential Loyalist,9
14238,326,1,146.85,1,1,1,111,Hibernating,2
17030,64,1,146.87,3,1,1,311,Potential Loyalist,9
15503,363,1,147.09,1,1,1,111,Hibernating,2
12864,138,1,147.12,2,1,1,211,About To Sleep,5
14037,176,2,147.2,2,1,1,211,About To Sleep,5
14098,37,1,147.35,3,1,1,311,Potential Loyalist,9
14968,30,1,147.59,4,1,1,411,Potential Loyalist,9
17859,305,1,148.21,1,1,1,111,Hibernating,2
15526,33,2,148.44,3,1,1,311,Potential Loyalist,9
17549,24,2,148.86,4,1,1,411,Potential Loyalist,9
13003,106,3,149.05,2,1,1,211,About To Sleep,5
15435,22,1,149.29,4,1,1,411,Potential Loyalist,9
15748,40,1,149.31,3,1,1,311,Potential Loyalist,9
18262,140,1,149.48,2,1,1,211,About To Sleep,5
17946,233,2,149.58,1,1,1,111,Hibernating,2
15869,277,2,149.64,1,1,1,111,Hibernating,2
17234,183,1,149.89,1,1,1,111,Hibernating,2
15717,234,1,150.3,1,1,1,111,Hibernating,2
16337,37,1,151.05,3,1,1,311,Potential Loyalist,9
13697,39,1,151.3,3,1,1,311,Potential Loyalist,9
16461,178,1,151.42,2,1,1,211,About To Sleep,5
14208,95,1,151.74,2,1,1,211,About To Sleep,5
16412,54,1,151.83,3,1,1,311,Potential Loyalist,9
16617,236,1,151.85,1,1,1,111,Hibernating,2
17898,85,2,152.06,2,1,1,211,About To Sleep,5
13514,74,1,152.2,2,1,1,211,About To Sleep,5
14039,33,1,152.2,3,1,1,311,Potential Loyalist,9
17707,185,2,152.4,1,1,1,111,Hibernating,2
14066,267,1,152.55,1,1,1,111,Hibernating,2
18138,295,1,152.65,1,1,1,111,Hibernating,2
17984,145,1,152.68,2,1,1,211,About To Sleep,5
16248,62,1,152.94,3,1,1,311,Potential Loyalist,9
17714,321,1,153.0,1,1,1,111,Hibernating,2
12602,59,1,153.12,3,1,1,311,Potential Loyalist,9
16351,333,1,153.9,1,1,1,111,Hibernating,2
17286,22,1,153.92,4,1,1,411,Potential Loyalist,9
17517,309,1,153.94,1,1,1,111,Hibernating,2
15226,311,1,154.41,1,1,1,111,Hibernating,2
17026,185,2,154.83,1,1,1,111,Hibernating,2
15740,49,1,154.88,3,1,1,311,Potential Loyalist,9
17698,261,1,154.95,1,1,1,111,Hibernating,2
14046,284,1,154.99,1,1,1,111,Hibernating,2
14368,320,1,155.0,1,1,1,111,Hibernating,2
13809,305,1,155.05,1,1,1,111,Hibernating,2
15447,331,1,155.17,1,1,1,111,Hibernating,2
16720,26,1,155.24,4,1,1,411,Potential Loyalist,9
12738,372,1,155.35,1,1,1,111,Hibernating,2
17832,50,1,155.37,3,1,1,311,Potential Loyalist,9
14813,370,2,155.43,1,1,1,111,Hibernating,2
17899,159,1,155.8,2,1,1,211,About To Sleep,5
17871,205,1,155.9,1,1,1,111,Hibernating,2
13898,326,1,155.93,1,1,1,111,Hibernating,2
14287,8,3,156.23,5,1,1,511,Potential Loyalist,9
15263,107,1,156.51,2,1,1,211,About To Sleep,5
15438,131,1,156.58,2,1,1,211,About To Sleep,5
14406,119,1,156.75,2,1,1,211,About To Sleep,5
15007,159,1,156.91,2,1,1,211,About To Sleep,5
17118,318,1,157.02,1,1,1,111,Hibernating,2
14585,50,1,157.05,3,1,1,311,Potential Loyalist,9
17128,335,1,157.09,1,1,1,111,Hibernating,2
14148,234,1,157.2,1,1,1,111,Hibernating,2
14799,51,1,157.7,3,1,1,311,Potential Loyalist,9
17556,206,1,157.9,1,1,1,111,Hibernating,2
15988,19,1,158.03,4,1,1,411,Potential Loyalist,9
15348,72,1,158.04,2,1,1,211,About To Sleep,5
15160,357,1,158.16,1,1,1,111,Hibernating,2
17165,284,1,158.68,1,1,1,111,Hibernating,2
13937,169,1,158.85,2,1,1,211,About To Sleep,5
18224,264,1,158.95,1,1,1,111,Hibernating,2
16213,79,1,159.0,2,1,1,211,About To Sleep,5
12966,10,1,160.18,5,1,1,511,Potential Loyalist,9
14714,24,1,160.19,4,1,1,411,Potential Loyalist,9
18146,141,2,160.35,2,1,1,211,About To Sleep,5
18203,157,1,160.42,2,1,1,211,About To Sleep,5
12573,227,1,160.54,1,1,1,111,Hibernating,2
17344,46,1,160.57,3,1,1,311,Potential Loyalist,9
15852,187,2,160.71,1,1,1,111,Hibernating,2
13229,226,1,160.95,1,1,1,111,Hibernating,2
14237,373,1,161.0,1,1,1,111,Hibernating,2
14089,57,1,161.0,3,1,1,311,Potential Loyalist,9
14204,2,1,161.03,5,1,1,511,Potential Loyalist,9
16403,312,1,161.05,1,1,1,111,Hibernating,2
14362,22,1,161.2,4,1,1,411,Potential Loyalist,9
16113,183,1,161.38,1,1,1,111,Hibernating,2
15458,25,1,161.64,4,1,1,411,Potential Loyalist,9
17600,18,1,161.67,4,1,1,411,Potential Loyalist,9
16932,53,1,161.94,3,1,1,311,Potential Loyalist,9
15325,104,1,162.29,2,1,1,211,About To Sleep,5
15733,283,1,162.3,1,1,1,111,Hibernating,2
16517,277,1,162.7,1,1,1,111,Hibernating,2
15167,321,1,163.0,1,1,1,111,Hibernating,2
16406,19,1,163.07,4,1,1,411,Potential Loyalist,9
13223,200,2,163.2,1,1,1,111,Hibernating,2
